2019-01-15 17:52:23.640045: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:52:23.640212: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[ 413] 3.483: took 8.238 ms
[ 414] 3.492: took 8.309 ms
[ 415] 3.500: took 8.283 ms
[ 416] 3.508: took 8.265 ms
[ 417] 3.517: took 8.201 ms
[ 418] 3.525: took 8.314 ms
[ 419] 3.533: took 8.261 ms
[ 420] 3.542: took 8.352 ms
[ 421] 3.550: took 8.262 ms
[ 422] 3.559: took 8.273 ms
[ 423] 3.567: took 8.278 ms
[ 424] 3.575: took 8.365 ms
[ 425] 3.584: took 8.307 ms
[ 426] 3.592: took 8.301 ms
[ 427] 3.600: took 8.242 ms
[ 428] 3.609: took 8.333 ms
[ 429] 3.617: took 8.268 ms
[ 430] 3.625: took 8.287 ms
[ 431] 3.634: took 8.339 ms
[ 432] 3.642: took 8.201 ms
[ 433] 3.651: took 8.184 ms
[ 434] 3.659: took 8.295 ms
[ 435] 3.667: took 8.325 ms
[ 436] 3.676: took 8.260 ms
[ 437] 3.684: took 8.285 ms
[ 438] 3.692: took 8.208 ms
[ 439] 3.701: took 8.223 ms
[ 440] 3.709: took 8.238 ms
[ 441] 3.717: took 8.277 ms
[ 442] 3.725: took 8.354 ms
[ 443] 3.734: took 8.216 ms
[ 444] 3.742: took 8.390 ms
[ 445] 3.751: took 8.316 ms
[ 446] 3.759: took 8.324 ms
[ 447] 3.767: took 8.364 ms
[ 448] 3.776: took 8.522 ms
[ 449] 3.784: took 8.432 ms
[ 450] 3.793: took 8.376 ms
[ 451] 3.801: took 8.251 ms
[ 452] 3.810: took 8.170 ms
[ 453] 3.818: took 8.545 ms
[ 454] 3.827: took 8.438 ms
[ 455] 3.835: took 8.431 ms
[ 456] 3.844: took 8.366 ms
[ 457] 3.852: took 8.368 ms
[ 458] 3.860: took 8.308 ms
[ 459] 3.869: took 8.259 ms
[ 460] 3.877: took 8.455 ms
[ 461] 3.886: took 8.327 ms
[ 462] 3.894: took 8.281 ms
[ 463] 3.902: took 8.321 ms
[ 464] 3.911: took 8.334 ms
[ 465] 3.919: took 8.234 ms
[ 466] 3.928: took 8.334 ms
[ 467] 3.936: took 8.325 ms
[ 468] 3.944: took 8.305 ms
[ 469] 3.953: took 8.234 ms
[ 470] 3.961: took 8.389 ms
[ 471] 3.969: took 8.331 ms
[ 472] 3.978: took 8.285 ms
[ 473] 3.986: took 8.249 ms
[ 474] 3.995: took 8.374 ms
[ 475] 4.003: took 8.391 ms
[ 476] 4.011: took 8.316 ms
[ 477] 4.020: took 8.396 ms
[ 478] 4.028: took 8.364 ms
[ 479] 4.037: took 8.329 ms
[ 480] 4.045: took 8.291 ms
[ 481] 4.053: took 8.327 ms
[ 482] 4.062: took 8.298 ms
[ 483] 4.070: took 8.305 ms
[ 484] 4.079: took 8.307 ms
[ 485] 4.087: took 8.305 ms
[ 486] 4.095: took 8.311 ms
[ 487] 4.104: took 8.319 ms
[ 488] 4.112: took 8.267 ms
[ 489] 4.120: took 8.318 ms
[ 490] 4.129: took 8.290 ms
[ 491] 4.137: took 8.263 ms
[ 492] 4.146: took 8.462 ms
[ 493] 4.154: took 8.287 ms
[ 494] 4.162: took 8.283 ms
[ 495] 4.171: took 8.256 ms
[ 496] 4.179: took 8.364 ms
[ 497] 4.188: took 8.501 ms
[ 498] 4.196: took 8.335 ms
[ 499] 4.204: took 8.296 ms
[ 500] 4.213: took 8.312 ms
[ 501] 4.221: took 8.307 ms
[ 502] 4.230: took 8.373 ms
[ 503] 4.238: took 8.234 ms
[ 504] 4.246: took 8.330 ms
[ 505] 4.255: took 8.373 ms
[ 506] 4.263: took 8.314 ms
[ 507] 4.272: took 8.291 ms
[ 508] 4.280: took 8.284 ms
[ 509] 4.288: took 8.321 ms
[ 510] 4.297: took 8.347 ms
[ 511] 4.305: took 8.324 ms
[ 512] 4.313: took 8.459 ms
[ 513] 4.322: took 8.331 ms
[ 514] 4.330: took 8.228 ms
[ 515] 4.339: took 8.370 ms
[ 516] 4.347: took 8.233 ms
[ 517] 4.355: took 8.368 ms
[ 518] 4.364: took 8.348 ms
[ 519] 4.372: took 8.320 ms
[ 520] 4.381: took 8.336 ms
[ 521] 4.389: took 8.287 ms
[ 522] 4.397: took 8.323 ms
[ 523] 4.406: took 8.277 ms
[ 524] 4.414: took 8.343 ms
[ 525] 4.423: took 8.236 ms
[ 526] 4.431: took 8.235 ms
[ 527] 4.439: took 8.374 ms
[ 528] 4.448: took 8.224 ms
[ 529] 4.456: took 7.821 ms
[ 530] 4.464: took 8.037 ms
[ 531] 4.472: took 8.522 ms
[ 532] 4.481: took 8.414 ms
[ 533] 4.489: took 8.278 ms
[ 534] 4.497: took 8.247 ms
[ 535] 4.506: took 8.428 ms
[ 536] 4.514: took 8.360 ms
[ 537] 4.523: took 8.395 ms
[ 538] 4.531: took 8.387 ms
[ 539] 4.540: took 8.343 ms
[ 540] 4.548: took 8.303 ms
[ 541] 4.556: took 8.373 ms
[ 542] 4.565: took 8.302 ms
[ 543] 4.573: took 8.353 ms
[ 544] 4.582: took 8.385 ms
[ 545] 4.590: took 8.460 ms
[ 546] 4.599: took 8.319 ms
[ 547] 4.607: took 8.380 ms
[ 548] 4.615: took 8.416 ms
[ 549] 4.624: took 8.360 ms
[ 550] 4.632: took 8.428 ms
[ 551] 4.641: took 8.361 ms
[ 552] 4.649: took 8.301 ms
[ 553] 4.658: took 8.302 ms
[ 554] 4.666: took 8.391 ms
[ 555] 4.674: took 8.367 ms
[ 556] 4.683: took 8.297 ms
[ 557] 4.691: took 8.450 ms
[ 558] 4.700: took 8.324 ms
[ 559] 4.708: took 8.294 ms
[ 560] 4.716: took 8.401 ms
[ 561] 4.725: took 8.401 ms
[ 562] 4.733: took 8.300 ms
[ 563] 4.742: took 8.269 ms
[ 564] 4.750: took 8.356 ms
[ 565] 4.759: took 8.343 ms
[ 566] 4.767: took 8.282 ms
[ 567] 4.775: took 8.374 ms
[ 568] 4.784: took 8.330 ms
[ 569] 4.792: took 8.413 ms
[ 570] 4.801: took 8.235 ms
[ 571] 4.809: took 8.447 ms
[ 572] 4.817: took 8.311 ms
[ 573] 4.826: took 8.288 ms
[ 574] 4.834: took 8.275 ms
[ 575] 4.843: took 8.313 ms
[ 576] 4.851: took 8.361 ms
[ 577] 4.859: took 8.374 ms
[ 578] 4.868: took 8.303 ms
[ 579] 4.876: took 8.366 ms
[ 580] 4.885: took 8.352 ms
[ 581] 4.893: took 8.283 ms
[ 582] 4.901: took 8.224 ms
[ 583] 4.910: took 8.342 ms
[ 584] 4.918: took 8.335 ms
[ 585] 4.927: took 8.263 ms
[ 586] 4.935: took 8.328 ms
[ 587] 4.943: took 8.341 ms
[ 588] 4.952: took 8.304 ms
[ 589] 4.960: took 8.294 ms
[ 590] 4.968: took 8.276 ms
[ 591] 4.977: took 8.320 ms
[ 592] 4.985: took 8.228 ms
[ 593] 4.993: took 8.234 ms
[ 594] 5.002: took 8.337 ms
[ 595] 5.010: took 8.275 ms
[ 596] 5.018: took 8.262 ms
[ 597] 5.027: took 8.329 ms
[ 598] 5.035: took 8.323 ms
[ 599] 5.044: took 8.317 ms
[ 600] 5.052: took 8.424 ms
[ 601] 5.060: took 8.331 ms
[ 602] 5.069: took 8.350 ms
[ 603] 5.077: took 8.343 ms
[ 604] 5.086: took 8.338 ms
[ 605] 5.094: took 8.347 ms
[ 606] 5.103: took 7.925 ms
[ 607] 5.111: took 7.788 ms
[ 608] 5.118: took 8.040 ms
[ 609] 5.126: took 8.655 ms
[ 610] 5.135: took 8.398 ms
[ 611] 5.144: took 8.378 ms
[ 612] 5.152: took 8.276 ms
[ 613] 5.160: took 8.316 ms
[ 614] 5.169: took 8.273 ms
[ 615] 5.177: took 8.327 ms
[ 616] 5.186: took 8.365 ms
[ 617] 5.194: took 8.346 ms
[ 618] 5.202: took 8.452 ms
[ 619] 5.211: took 8.328 ms
[ 620] 5.219: took 8.376 ms
[ 621] 5.228: took 8.326 ms
[ 622] 5.236: took 8.324 ms
[ 623] 5.245: took 8.320 ms
[ 624] 5.253: took 8.367 ms
[ 625] 5.261: took 8.203 ms
[ 626] 5.270: took 8.263 ms
[ 627] 5.278: took 8.274 ms
[ 628] 5.286: took 8.258 ms
[ 629] 5.295: took 8.364 ms
[ 630] 5.303: took 8.281 ms
[ 631] 5.311: took 8.445 ms
[ 632] 5.320: took 8.304 ms
[ 633] 5.328: took 8.277 ms
[ 634] 5.337: took 8.273 ms
[ 635] 5.345: took 8.358 ms
[ 636] 5.353: took 8.381 ms
[ 637] 5.362: took 8.262 ms
[ 638] 5.370: took 8.280 ms
[ 639] 5.379: took 8.281 ms
[ 640] 5.387: took 8.316 ms
[ 641] 5.395: took 8.389 ms
[ 642] 5.404: took 8.262 ms
[ 643] 5.412: took 8.346 ms
[ 644] 5.421: took 8.352 ms
[ 645] 5.429: took 8.330 ms
[ 646] 5.437: took 8.237 ms
[ 647] 5.446: took 8.383 ms
[ 648] 5.454: took 8.451 ms
[ 649] 5.463: took 8.211 ms
[ 650] 5.471: took 8.341 ms
[ 651] 5.479: took 8.401 ms
[ 652] 5.488: took 8.317 ms
[ 653] 5.496: took 8.174 ms
[ 654] 5.504: took 8.296 ms
[ 655] 5.513: took 8.183 ms
[ 656] 5.521: took 8.192 ms
[ 657] 5.529: took 8.331 ms
[ 658] 5.538: took 8.419 ms
[ 659] 5.546: took 8.254 ms
[ 660] 5.555: took 8.283 ms
[ 661] 5.563: took 8.299 ms
[ 662] 5.571: took 8.281 ms
[ 663] 5.580: took 8.305 ms
[ 664] 5.588: took 8.252 ms
[ 665] 5.596: took 8.260 ms
[ 666] 5.605: took 8.320 ms
[ 667] 5.613: took 8.353 ms
[ 668] 5.621: took 8.427 ms
[ 669] 5.630: took 8.403 ms
[ 670] 5.638: took 8.365 ms
[ 671] 5.647: took 8.443 ms
